(129.4144687652588, 109, 'out', 'prompt', 0, 550)
(129.5205042362213, 110, 'out', 'prompt', 0, 1107)
(129.67874884605408, 111, 'out', 'prompt', 0, 765)
(130.87498688697815, 112, 'out', 'prompt', 0, 509)
(130.92127585411072, 113, 'out', 'prompt', 0, 685)
(131.7742772102356, 114, 'out', 'prompt', 0, 520)
(134.18240118026733, 115, 'out', 'prompt', 0, 984)
(134.94639563560486, 116, 'out', 'prompt', 0, 500)
(136.08767223358154, 117, 'out', 'prompt', 0, 517)
(136.1147322654724, 118, 'out', 'prompt', 0, 533)
(137.12258958816528, 119, 'out', 'prompt', 0, 805)
(138.05485367774963, 120, 'out', 'prompt', 0, 737)
(138.91276454925537, 121, 'out', 'prompt', 0, 592)
(139.40904545783997, 122, 'out', 'prompt', 0, 519)
(139.87130308151245, 123, 'out', 'prompt', 0, 984)
(143.80949759483337, 124, 'out', 'prompt', 0, 592)
(143.84656834602356, 125, 'out', 'prompt', 0, 538)
(143.8684425354004, 126, 'out', 'prompt', 0, 455)
(147.1134388446808, 127, 'out', 'prompt', 0, 553)
(147.3179714679718, 128, 'out', 'prompt', 0, 461)
(147.4502410888672, 129, 'out', 'prompt', 0, 762)
(147.68669366836548, 130, 'out', 'prompt', 0, 1317)
(149.29987144470215, 131, 'out', 'prompt', 0, 911)
(152.0640025138855, 132, 'out', 'prompt', 0, 516)
(152.08704829216003, 133, 'out', 'prompt', 0, 543)
(152.64151096343994, 134, 'out', 'prompt', 0, 373)
(152.74853897094727, 135, 'out', 'prompt', 0, 720)
(153.04953598976135, 136, 'out', 'prompt', 0, 358)
(153.29906129837036, 137, 'out', 'prompt', 0, 999)
(154.3401381969452, 138, 'out', 'prompt', 0, 771)
(154.77137351036072, 139, 'out', 'prompt', 0, 436)
(154.97021174430847, 140, 'out', 'prompt', 0, 763)
(155.670658826828, 141, 'out', 'prompt', 0, 453)
(155.71083402633667, 142, 'out', 'prompt', 0, 487)
(155.81721830368042, 143, 'out', 'prompt', 0, 591)
(160.25985765457153, 144, 'out', 'prompt', 0, 610)
(160.482195854187, 145, 'out', 'prompt', 0, 535)
