(0, 194, 96, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(1, 420, 124, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(2, 1136, 375, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(3, 405, 103, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(4, 120, 12, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(5, 1060, 415, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(6, 388, 84, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(7, 1068, 429, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(8, 1039, 401, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(9, 422, 144, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(10, 209, 193, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(11, 1344, 56, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(12, 393, 60, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(13, 1050, 397, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(14, 1169, 421, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(15, 401, 109, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(16, 374, 114, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(17, 419, 148, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(18, 400, 89, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(19, 413, 106, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(20, 237, 126, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(21, 1224, 433, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(22, 181, 120, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(23, 1103, 414, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(24, 212, 183, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(25, 405, 94, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(26, 209, 217, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(27, 1316, 135, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(28, 1062, 415, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(29, 1066, 415, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(30, 1484, 88, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(31, 409, 93, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(32, 1092, 389, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(33, 395, 83, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(34, 203, 138, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(35, 1149, 398, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(36, 221, 48, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(37, 378, 69, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(38, 203, 217, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(39, 1096, 398, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(40, 440, 95, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(41, 1077, 483, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(42, 167, 217, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(43, 1041, 400, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(44, 181, 257, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(45, 1027, 396, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(46, 1353, 156, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(47, 407, 115, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(48, 203, 162, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(49, 1089, 525, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(50, 109, 120, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(51, 1316, 125, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(52, 408, 96, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(53, 1245, 384, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(54, 397, 127, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
(55, 381, 76, [1, 2, 3, 4, 5, 6, 7, 0], [0, 9, 18, 27, 36, 45, 55, -1], [9, 18, 27, 36, 45, 55, 64, -1])
