(7.8166375160217285, 9, 'out', 'decode', 424, 1)
(9.099647760391235, 13, 'in', 'prompt', 0, 1051)
(9.099647760391235, 15, 'out', 'prompt', 0, 402)
(9.099647760391235, 13, 'out', 'decode', 1051, 1)
(9.37000060081482, 14, 'in', 'prompt', 0, 1170)
(9.37000060081482, 16, 'out', 'prompt', 0, 375)
(9.37000060081482, 14, 'out', 'decode', 1170, 1)
(9.392696380615234, 0, 'in', 'decode', 200, 1)
(9.392696380615234, 0, 'out', 'decode', 201, 1)
(9.392696380615234, 1, 'in', 'decode', 426, 1)
(9.392696380615234, 1, 'out', 'decode', 427, 1)
(9.392696380615234, 10, 'in', 'decode', 211, 1)
(9.392696380615234, 10, 'out', 'decode', 212, 1)
(9.392810106277466, 11, 'in', 'decode', 1345, 1)
(9.392810106277466, 11, 'out', 'decode', 1346, 1)
(9.392810106277466, 12, 'in', 'decode', 394, 1)
(9.392810106277466, 12, 'out', 'decode', 395, 1)
(9.392810106277466, 2, 'in', 'decode', 1142, 1)
(9.392810106277466, 2, 'out', 'decode', 1143, 1)
(9.392810106277466, 3, 'in', 'decode', 410, 1)
(9.392810106277466, 3, 'out', 'decode', 411, 1)
(9.392810106277466, 4, 'in', 'decode', 125, 1)
(9.392810106277466, 4, 'out', 'decode', 126, 1)
(9.392810106277466, 5, 'in', 'decode', 1064, 1)
(9.392810106277466, 5, 'out', 'decode', 1065, 1)
(9.392810106277466, 6, 'in', 'decode', 392, 1)
(9.392810106277466, 6, 'out', 'decode', 393, 1)
(9.392810106277466, 7, 'in', 'decode', 1071, 1)
(9.392810106277466, 7, 'out', 'decode', 1072, 1)
(9.392810106277466, 8, 'in', 'decode', 1042, 1)
(9.392810106277466, 8, 'out', 'decode', 1043, 1)
(9.392810106277466, 9, 'in', 'decode', 424, 1)
(9.392810106277466, 9, 'out', 'decode', 425, 1)
(9.75450348854065, 15, 'in', 'prompt', 0, 402)
(9.75450348854065, 17, 'out', 'prompt', 0, 420)
(9.75450348854065, 15, 'out', 'decode', 402, 1)
(9.772855758666992, 13, 'in', 'decode', 1051, 1)
(9.772855758666992, 13, 'out', 'decode', 1052, 1)
(9.912403345108032, 16, 'in', 'prompt', 0, 375)
(9.912403345108032, 18, 'out', 'prompt', 0, 401)
(9.912403345108032, 16, 'out', 'decode', 375, 1)
(9.938696146011353, 0, 'in', 'decode', 201, 1)
(9.938696146011353, 0, 'out', 'decode', 202, 1)
(9.938756227493286, 1, 'in', 'decode', 427, 1)
(9.938756227493286, 1, 'out', 'decode', 428, 1)
(9.938756227493286, 10, 'in', 'decode', 212, 1)
(9.938756227493286, 10, 'out', 'decode', 213, 1)
(9.938756227493286, 11, 'in', 'decode', 1346, 1)
(9.938756227493286, 11, 'out', 'decode', 1347, 1)
(9.938756227493286, 12, 'in', 'decode', 395, 1)
(9.938756227493286, 12, 'out', 'decode', 396, 1)
(9.938756227493286, 14, 'in', 'decode', 1170, 1)
(9.938756227493286, 14, 'out', 'decode', 1171, 1)
(9.938756227493286, 2, 'in', 'decode', 1143, 1)
(9.938756227493286, 2, 'out', 'decode', 1144, 1)
(9.938756227493286, 3, 'in', 'decode', 411, 1)
(9.938756227493286, 3, 'out', 'decode', 412, 1)
(9.938756227493286, 4, 'in', 'decode', 126, 1)
(9.938756227493286, 4, 'out', 'decode', 127, 1)
(9.938756227493286, 5, 'in', 'decode', 1065, 1)
(9.938756227493286, 5, 'out', 'decode', 1066, 1)
(9.938756227493286, 6, 'in', 'decode', 393, 1)
(9.938756227493286, 6, 'out', 'decode', 394, 1)
(9.938978433609009, 7, 'in', 'decode', 1072, 1)
(9.938978433609009, 7, 'out', 'decode', 1073, 1)
(9.938978433609009, 8, 'in', 'decode', 1043, 1)
(9.938978433609009, 8, 'out', 'decode', 1044, 1)
(9.938978433609009, 9, 'in', 'decode', 425, 1)
(9.938978433609009, 9, 'out', 'decode', 426, 1)
(10.40622591972351, 17, 'in', 'prompt', 0, 420)
(10.40622591972351, 19, 'out', 'prompt', 0, 414)
(10.40622591972351, 17, 'out', 'decode', 420, 1)
(10.425384998321533, 13, 'in', 'decode', 1052, 1)
(10.425384998321533, 13, 'out', 'decode', 1053, 1)
(10.425384998321533, 15, 'in', 'decode', 402, 1)
(10.425384998321533, 15, 'out', 'decode', 403, 1)
(10.55037522315979, 18, 'in', 'prompt', 0, 401)
(10.55037522315979, 20, 'out', 'prompt', 0, 238)
(10.55037522315979, 18, 'out', 'decode', 401, 1)
(10.57705807685852, 0, 'in', 'decode', 202, 1)
(10.57705807685852, 0, 'out', 'decode', 203, 1)
(10.577149152755737, 1, 'in', 'decode', 428, 1)
(10.577149152755737, 1, 'out', 'decode', 429, 1)
(10.577149152755737, 10, 'in', 'decode', 213, 1)
(10.577149152755737, 10, 'out', 'decode', 214, 1)
(10.577149152755737, 11, 'in', 'decode', 1347, 1)
(10.577149152755737, 11, 'out', 'decode', 1348, 1)
(10.577149152755737, 12, 'in', 'decode', 396, 1)
(10.577149152755737, 12, 'out', 'decode', 397, 1)
(10.577149152755737, 14, 'in', 'decode', 1171, 1)
(10.577149152755737, 14, 'out', 'decode', 1172, 1)
(10.577149152755737, 16, 'in', 'decode', 375, 1)
(10.577149152755737, 16, 'out', 'decode', 376, 1)
(10.577149152755737, 2, 'in', 'decode', 1144, 1)
(10.577149152755737, 2, 'out', 'decode', 1145, 1)
(10.577149152755737, 3, 'in', 'decode', 412, 1)
(10.577149152755737, 3, 'out', 'decode', 413, 1)
(10.577149152755737, 4, 'in', 'decode', 127, 1)
(10.577149152755737, 4, 'out', 'decode', 128, 1)
(10.577149152755737, 5, 'in', 'decode', 1066, 1)
(10.577149152755737, 5, 'out', 'decode', 1067, 1)
(10.577149152755737, 6, 'in', 'decode', 394, 1)
(10.577149152755737, 6, 'out', 'decode', 395, 1)
(10.577149152755737, 7, 'in', 'decode', 1073, 1)
(10.577149152755737, 7, 'out', 'decode', 1074, 1)
(10.577149152755737, 8, 'in', 'decode', 1044, 1)
(10.577149152755737, 8, 'out', 'decode', 1045, 1)
(10.577149152755737, 9, 'in', 'decode', 426, 1)
(10.577149152755737, 9, 'out', 'decode', 427, 1)
(11.099114894866943, 19, 'in', 'prompt', 0, 414)
(11.099114894866943, 21, 'out', 'prompt', 0, 1225)
(11.099114894866943, 19, 'out', 'decode', 414, 1)
(11.152214288711548, 20, 'in', 'prompt', 0, 238)
(11.152214288711548, 22, 'out', 'prompt', 0, 182)
(11.152214288711548, 20, 'out', 'decode', 238, 1)
(11.183721542358398, 0, 'in', 'decode', 203, 1)
(11.183721542358398, 0, 'out', 'decode', 204, 1)
(11.183721542358398, 1, 'in', 'decode', 429, 1)
(11.183721542358398, 1, 'out', 'decode', 430, 1)
(11.183785200119019, 10, 'in', 'decode', 214, 1)
(11.183785200119019, 10, 'out', 'decode', 215, 1)
(11.183785200119019, 11, 'in', 'decode', 1348, 1)
(11.183785200119019, 11, 'out', 'decode', 1349, 1)
(11.183785200119019, 12, 'in', 'decode', 397, 1)
(11.183785200119019, 12, 'out', 'decode', 398, 1)
(11.183785200119019, 13, 'in', 'decode', 1053, 1)
(11.183785200119019, 13, 'out', 'decode', 1054, 1)
(11.183785200119019, 14, 'in', 'decode', 1172, 1)
(11.183785200119019, 14, 'out', 'decode', 1173, 1)
(11.183785200119019, 15, 'in', 'decode', 403, 1)
(11.183785200119019, 15, 'out', 'decode', 404, 1)
(11.183785200119019, 16, 'in', 'decode', 376, 1)
