(43, 1092, 720, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(44, 1126, 397, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(45, 409, 143, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(46, 1094, 376, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(47, 1073, 411, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(48, 459, 387, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(49, 1130, 396, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(50, 422, 111, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(51, 91, 24, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(52, 1548, 90, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(53, 200, 167, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(54, 1022, 443, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(55, 395, 97, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(56, 1043, 396, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(57, 924, 74, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(58, 1028, 411, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(59, 1019, 396, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(60, 194, 217, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(61, 1028, 411, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(62, 1050, 404, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(63, 1023, 396, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(64, 962, 429, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(65, 879, 55, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(66, 1199, 108, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(67, 977, 429, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(68, 1000, 414, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(69, 433, 84, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(70, 1171, 395, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(71, 380, 102, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(72, 304, 18, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(73, 403, 135, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(74, 206, 186, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(75, 120, 12, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(76, 1016, 420, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(77, 1314, 157, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(78, 1093, 425, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(79, 403, 92, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(80, 1152, 503, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(81, 979, 622, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(82, 197, 87, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(83, 1318, 191, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(84, 1030, 388, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(85, 240, 86, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(86, 1733, 66, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
