(58, 32, 116, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(59, 256, 67, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(60, 32, 223, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(61, 42, 83, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(62, 32, 88, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(63, 32, 59, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(64, 32, 70, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(65, 32, 229, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(66, 32, 188, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(67, 32, 150, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(68, 101, 230, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(69, 32, 120, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(70, 32, 110, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(71, 54, 105, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(72, 32, 223, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(73, 32, 157, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(74, 32, 120, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(75, 32, 176, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(76, 185, 214, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(77, 32, 253, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(78, 44, 71, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(79, 32, 206, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(80, 32, 174, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(81, 32, 211, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(82, 55, 98, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(83, 91, 54, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(84, 32, 119, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(85, 32, 230, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(86, 32, 145, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
