(4.311645030975342, 0, 'out', 'decode', 509, 1)
(4.357569694519043, 1, 'in', 'decode', 612, 1)
(4.372975826263428, 0, 'in', 'decode', 509, 1)
(4.372975826263428, 0, 'out', 'decode', 510, 1)
(4.4340856075286865, 0, 'in', 'decode', 510, 1)
(4.4340856075286865, 0, 'out', 'decode', 511, 1)
(4.495593547821045, 0, 'in', 'decode', 511, 1)
(4.495593547821045, 0, 'out', 'decode', 512, 1)
(4.557368993759155, 0, 'in', 'decode', 512, 1)
(4.557368993759155, 0, 'out', 'decode', 513, 1)
(4.61972975730896, 0, 'in', 'decode', 513, 1)
(4.61972975730896, 0, 'out', 'decode', 514, 1)
(4.682400465011597, 0, 'in', 'decode', 514, 1)
(4.682400465011597, 0, 'out', 'decode', 515, 1)
(4.744339942932129, 0, 'in', 'decode', 515, 1)
(4.744339942932129, 0, 'out', 'decode', 516, 1)
(4.806875705718994, 0, 'in', 'decode', 516, 1)
(4.806875705718994, 0, 'out', 'decode', 517, 1)
(4.867841482162476, 0, 'in', 'decode', 517, 1)
(4.867841482162476, 0, 'out', 'decode', 518, 1)
(4.928662061691284, 0, 'in', 'decode', 518, 1)
(4.928662061691284, 0, 'out', 'decode', 519, 1)
(4.9907917976379395, 0, 'in', 'decode', 519, 1)
(4.9907917976379395, 0, 'out', 'decode', 520, 1)
(5.052440643310547, 0, 'in', 'decode', 520, 1)
(5.052440643310547, 0, 'out', 'decode', 521, 1)
(5.11409330368042, 0, 'in', 'decode', 521, 1)
(5.11409330368042, 0, 'out', 'decode', 522, 1)
(5.176128387451172, 0, 'in', 'decode', 522, 1)
(5.176128387451172, 0, 'out', 'decode', 523, 1)
(5.237456321716309, 0, 'in', 'decode', 523, 1)
(5.237456321716309, 0, 'out', 'decode', 524, 1)
(5.29839301109314, 0, 'in', 'decode', 524, 1)
(5.29839301109314, 0, 'out', 'decode', 525, 1)
(5.35975980758667, 0, 'in', 'decode', 525, 1)
(5.35975980758667, 0, 'out', 'decode', 526, 1)
(5.420237064361572, 0, 'in', 'decode', 526, 1)
(5.420237064361572, 0, 'out', 'decode', 527, 1)
(5.48086404800415, 0, 'in', 'decode', 527, 1)
(5.48086404800415, 0, 'out', 'decode', 528, 1)
(5.542742013931274, 0, 'in', 'decode', 528, 1)
(5.542742013931274, 0, 'out', 'decode', 529, 1)
(5.604557752609253, 0, 'in', 'decode', 529, 1)
(5.604557752609253, 0, 'out', 'decode', 530, 1)
(5.665964126586914, 0, 'in', 'decode', 530, 1)
(5.665964126586914, 0, 'out', 'decode', 531, 1)
(5.727468729019165, 0, 'in', 'decode', 531, 1)
(5.727468729019165, 0, 'out', 'decode', 532, 1)
(5.7887489795684814, 0, 'in', 'decode', 532, 1)
(5.7887489795684814, 0, 'out', 'decode', 533, 1)
(5.850242614746094, 0, 'in', 'decode', 533, 1)
(5.850242614746094, 0, 'out', 'decode', 534, 1)
(5.911448955535889, 0, 'in', 'decode', 534, 1)
(5.911448955535889, 0, 'out', 'decode', 535, 1)
(5.973664045333862, 0, 'in', 'decode', 535, 1)
(5.973664045333862, 0, 'out', 'decode', 536, 1)
(6.035212993621826, 0, 'in', 'decode', 536, 1)
(6.035212993621826, 0, 'out', 'decode', 537, 1)
(6.097369194030762, 0, 'in', 'decode', 537, 1)
(6.097369194030762, 0, 'out', 'decode', 538, 1)
(6.1589930057525635, 0, 'in', 'decode', 538, 1)
(6.1589930057525635, 0, 'out', 'decode', 539, 1)
(6.221779108047485, 0, 'in', 'decode', 539, 1)
(6.221779108047485, 0, 'out', 'decode', 540, 1)
(6.284013986587524, 0, 'in', 'decode', 540, 1)
(6.284013986587524, 0, 'out', 'decode', 541, 1)
(6.3459696769714355, 0, 'in', 'decode', 541, 1)
(6.3459696769714355, 0, 'out', 'decode', 542, 1)
(6.408630132675171, 0, 'in', 'decode', 542, 1)
(6.408630132675171, 0, 'out', 'decode', 543, 1)
(6.470397710800171, 0, 'in', 'decode', 543, 1)
(6.470397710800171, 0, 'out', 'decode', 544, 1)
(6.5329430103302, 0, 'in', 'decode', 544, 1)
(6.5329430103302, 0, 'out', 'decode', 545, 1)
(6.5584728717803955, 2, 'out', 'prompt', 0, 734)
(6.595656156539917, 0, 'in', 'decode', 545, 1)
(6.595656156539917, 0, 'out', 'decode', 546, 1)
(7.144577741622925, 2, 'in', 'prompt', 0, 734)
(7.144577741622925, 2, 'out', 'decode', 734, 1)
(7.160560369491577, 0, 'in', 'decode', 546, 1)
(7.160560369491577, 0, 'out', 'decode', 547, 1)
(7.208490371704102, 2, 'in', 'decode', 734, 1)
(7.208490371704102, 2, 'out', 'decode', 735, 1)
(7.224355936050415, 0, 'in', 'decode', 547, 1)
(7.224355936050415, 0, 'out', 'decode', 548, 1)
(7.270140171051025, 2, 'in', 'decode', 735, 1)
(7.270140171051025, 2, 'out', 'decode', 736, 1)
(7.285764932632446, 0, 'in', 'decode', 548, 1)
(7.285764932632446, 0, 'out', 'decode', 549, 1)
(7.331369161605835, 2, 'in', 'decode', 736, 1)
(7.331369161605835, 2, 'out', 'decode', 737, 1)
(7.3469929695129395, 0, 'in', 'decode', 549, 1)
(7.3469929695129395, 0, 'out', 'decode', 550, 1)
(7.392378091812134, 2, 'in', 'decode', 737, 1)
(7.392378091812134, 2, 'out', 'decode', 738, 1)
(7.407962322235107, 0, 'in', 'decode', 550, 1)
(7.407962322235107, 0, 'out', 'decode', 551, 1)
(7.452944040298462, 2, 'in', 'decode', 738, 1)
(7.452944040298462, 2, 'out', 'decode', 739, 1)
(7.468551397323608, 0, 'in', 'decode', 551, 1)
(7.468551397323608, 0, 'out', 'decode', 552, 1)
(7.514244794845581, 2, 'in', 'decode', 739, 1)
(7.514244794845581, 2, 'out', 'decode', 740, 1)
(7.529762506484985, 0, 'in', 'decode', 552, 1)
(7.529762506484985, 0, 'out', 'decode', 553, 1)
(7.575157165527344, 2, 'in', 'decode', 740, 1)
(7.575157165527344, 2, 'out', 'decode', 741, 1)
(7.590709686279297, 0, 'in', 'decode', 553, 1)
(7.590709686279297, 0, 'out', 'decode', 554, 1)
(7.63691258430481, 2, 'in', 'decode', 741, 1)
(7.63691258430481, 2, 'out', 'decode', 742, 1)
(7.649899482727051, 3, 'out', 'prompt', 0, 415)
(7.652535438537598, 0, 'in', 'decode', 554, 1)
(7.652535438537598, 0, 'out', 'decode', 555, 1)
(7.697647333145142, 2, 'in', 'decode', 742, 1)
(7.697647333145142, 2, 'out', 'decode', 743, 1)
(7.975836277008057, 3, 'in', 'prompt', 0, 415)
(7.975836277008057, 3, 'out', 'decode', 415, 1)
(7.995380878448486, 0, 'in', 'decode', 555, 1)
(7.995380878448486, 0, 'out', 'decode', 556, 1)
(7.995501518249512, 2, 'in', 'decode', 743, 1)
(7.995501518249512, 2, 'out', 'decode', 744, 1)
(8.036664962768555, 3, 'in', 'decode', 415, 1)
(8.036664962768555, 3, 'out', 'decode', 416, 1)
(8.05885124206543, 0, 'in', 'decode', 556, 1)
(8.05885124206543, 0, 'out', 'decode', 557, 1)
(8.05895447731018, 2, 'in', 'decode', 744, 1)
(8.05895447731018, 2, 'out', 'decode', 745, 1)
(8.096561670303345, 3, 'in', 'decode', 416, 1)
(8.096561670303345, 3, 'out', 'decode', 417, 1)
(8.119072675704956, 0, 'in', 'decode', 557, 1)
(8.119072675704956, 0, 'out', 'decode', 558, 1)
(8.134660720825195, 2, 'in', 'decode', 745, 1)
(8.134660720825195, 2, 'out', 'decode', 746, 1)
(8.156169176101685, 3, 'in', 'decode', 417, 1)
(8.156169176101685, 3, 'out', 'decode', 418, 1)
(8.179466247558594, 0, 'in', 'decode', 558, 1)
(8.179466247558594, 0, 'out', 'decode', 559, 1)
(8.195117473602295, 2, 'in', 'decode', 746, 1)
(8.195117473602295, 2, 'out', 'decode', 747, 1)
(8.215939998626709, 3, 'in', 'decode', 418, 1)
(8.215939998626709, 3, 'out', 'decode', 419, 1)
(8.240521430969238, 0, 'in', 'decode', 559, 1)
(8.240521430969238, 0, 'out', 'decode', 560, 1)
(8.249184131622314, 4, 'out', 'prompt', 0, 640)
(8.256089925765991, 2, 'in', 'decode', 747, 1)
(8.256089925765991, 2, 'out', 'decode', 748, 1)
(8.27588438987732, 3, 'in', 'decode', 419, 1)
(8.27588438987732, 3, 'out', 'decode', 420, 1)
(8.300859212875366, 0, 'in', 'decode', 560, 1)
(8.300859212875366, 0, 'out', 'decode', 561, 1)
(8.651209831237793, 4, 'in', 'prompt', 0, 640)
(8.651209831237793, 4, 'out', 'decode', 640, 1)
(8.669837236404419, 0, 'in', 'decode', 561, 1)
(8.669837236404419, 0, 'out', 'decode', 562, 1)
(8.669837236404419, 2, 'in', 'decode', 748, 1)
(8.669837236404419, 2, 'out', 'decode', 749, 1)
(8.669998168945312, 3, 'in', 'decode', 420, 1)
(8.669998168945312, 3, 'out', 'decode', 421, 1)
(8.714505910873413, 4, 'in', 'decode', 640, 1)
(8.714505910873413, 4, 'out', 'decode', 641, 1)
(8.732229471206665, 0, 'in', 'decode', 562, 1)
(8.732229471206665, 0, 'out', 'decode', 563, 1)
(8.748780965805054, 2, 'in', 'decode', 749, 1)
(8.748780965805054, 2, 'out', 'decode', 750, 1)
(8.748861074447632, 3, 'in', 'decode', 421, 1)
(8.748861074447632, 3, 'out', 'decode', 422, 1)
(8.775710821151733, 4, 'in', 'decode', 641, 1)
(8.775710821151733, 4, 'out', 'decode', 642, 1)
(8.793134927749634, 0, 'in', 'decode', 563, 1)
(8.793134927749634, 0, 'out', 'decode', 564, 1)
(8.810209512710571, 2, 'in', 'decode', 750, 1)
(8.810209512710571, 2, 'out', 'decode', 751, 1)
(8.825629711151123, 3, 'in', 'decode', 422, 1)
(8.825629711151123, 3, 'out', 'decode', 423, 1)
(8.841253995895386, 4, 'in', 'decode', 642, 1)
(8.841253995895386, 4, 'out', 'decode', 643, 1)
(8.856840372085571, 0, 'in', 'decode', 564, 1)
(8.856840372085571, 0, 'out', 'decode', 565, 1)
(8.872452974319458, 2, 'in', 'decode', 751, 1)
(8.872452974319458, 2, 'out', 'decode', 752, 1)
(8.887873888015747, 3, 'in', 'decode', 423, 1)
(8.887873888015747, 3, 'out', 'decode', 424, 1)
(8.903499603271484, 4, 'in', 'decode', 643, 1)
(8.903499603271484, 4, 'out', 'decode', 644, 1)
(8.919087171554565, 0, 'in', 'decode', 565, 1)
(8.919087171554565, 0, 'out', 'decode', 566, 1)
(8.934685707092285, 2, 'in', 'decode', 752, 1)
(8.934685707092285, 2, 'out', 'decode', 753, 1)
(8.95010232925415, 3, 'in', 'decode', 424, 1)
(8.95010232925415, 3, 'out', 'decode', 425, 1)
(8.96569538116455, 4, 'in', 'decode', 644, 1)
(8.96569538116455, 4, 'out', 'decode', 645, 1)
(8.98129415512085, 0, 'in', 'decode', 566, 1)
(8.98129415512085, 0, 'out', 'decode', 567, 1)
(8.99689531326294, 2, 'in', 'decode', 753, 1)
(8.99689531326294, 2, 'out', 'decode', 754, 1)
(9.012273788452148, 3, 'in', 'decode', 425, 1)
(9.012273788452148, 3, 'out', 'decode', 426, 1)
(9.027878284454346, 4, 'in', 'decode', 645, 1)
(9.027878284454346, 4, 'out', 'decode', 646, 1)
(9.043460607528687, 0, 'in', 'decode', 567, 1)
(9.043460607528687, 0, 'out', 'decode', 568, 1)
(9.059063196182251, 2, 'in', 'decode', 754, 1)
(9.059063196182251, 2, 'out', 'decode', 755, 1)
(9.074469089508057, 3, 'in', 'decode', 426, 1)
(9.074469089508057, 3, 'out', 'decode', 427, 1)
(9.090051889419556, 4, 'in', 'decode', 646, 1)
(9.090051889419556, 4, 'out', 'decode', 647, 1)
(9.105623006820679, 0, 'in', 'decode', 568, 1)
(9.105623006820679, 0, 'out', 'decode', 569, 1)
(9.121189832687378, 2, 'in', 'decode', 755, 1)
(9.121189832687378, 2, 'out', 'decode', 756, 1)
(9.13658356666565, 3, 'in', 'decode', 427, 1)
(9.13658356666565, 3, 'out', 'decode', 428, 1)
(9.152184009552002, 4, 'in', 'decode', 647, 1)
(9.152184009552002, 4, 'out', 'decode', 648, 1)
(9.167778730392456, 0, 'in', 'decode', 569, 1)
(9.167778730392456, 0, 'out', 'decode', 570, 1)
(9.183378219604492, 2, 'in', 'decode', 756, 1)
(9.183378219604492, 2, 'out', 'decode', 757, 1)
(9.199429035186768, 3, 'in', 'decode', 428, 1)
(9.199429035186768, 3, 'out', 'decode', 429, 1)
(9.215113401412964, 4, 'in', 'decode', 648, 1)
(9.215113401412964, 4, 'out', 'decode', 649, 1)
(9.230746746063232, 0, 'in', 'decode', 570, 1)
(9.230746746063232, 0, 'out', 'decode', 571, 1)
(9.2463538646698, 2, 'in', 'decode', 757, 1)
(9.2463538646698, 2, 'out', 'decode', 758, 1)
