(0.10000038146972656, 0, 'out', 'prompt', 0, 195)
(0.20000076293945312, 1, 'out', 'prompt', 0, 421)
(0.7545983791351318, 0, 'in', 'prompt', 0, 195)
(0.7545983791351318, 2, 'out', 'prompt', 0, 1137)
(0.7545983791351318, 0, 'out', 'decode', 195, 1)
(0.8371806144714355, 1, 'in', 'prompt', 0, 421)
(0.8371806144714355, 3, 'out', 'prompt', 0, 406)
(0.8371806144714355, 1, 'out', 'decode', 421, 1)
(1.7103707790374756, 2, 'in', 'prompt', 0, 1137)
(1.7103707790374756, 4, 'out', 'prompt', 0, 121)
(1.7103707790374756, 2, 'out', 'decode', 1137, 1)
(1.7667651176452637, 3, 'in', 'prompt', 0, 406)
(1.7667651176452637, 5, 'out', 'prompt', 0, 1061)
(1.7667651176452637, 3, 'out', 'decode', 406, 1)
(1.7922847270965576, 0, 'in', 'decode', 195, 1)
(1.7922847270965576, 0, 'out', 'decode', 196, 1)
(1.7922847270965576, 1, 'in', 'decode', 421, 1)
(1.7922847270965576, 1, 'out', 'decode', 422, 1)
(1.9063231945037842, 4, 'in', 'prompt', 0, 121)
(1.9063231945037842, 6, 'out', 'prompt', 0, 389)
(1.9063231945037842, 4, 'out', 'decode', 121, 1)
(1.9201889038085938, 2, 'in', 'decode', 1137, 1)
(1.9201889038085938, 2, 'out', 'decode', 1138, 1)
(2.5167956352233887, 5, 'in', 'prompt', 0, 1061)
(2.5167956352233887, 7, 'out', 'prompt', 0, 1069)
(2.5167956352233887, 5, 'out', 'decode', 1061, 1)
(2.730729818344116, 6, 'in', 'prompt', 0, 389)
(2.730729818344116, 8, 'out', 'prompt', 0, 1040)
(2.730729818344116, 6, 'out', 'decode', 389, 1)
(2.7495062351226807, 0, 'in', 'decode', 196, 1)
(2.7495062351226807, 0, 'out', 'decode', 197, 1)
(2.7495062351226807, 1, 'in', 'decode', 422, 1)
(2.7495062351226807, 1, 'out', 'decode', 423, 1)
(2.749588966369629, 2, 'in', 'decode', 1138, 1)
(2.749588966369629, 2, 'out', 'decode', 1139, 1)
(2.749588966369629, 3, 'in', 'decode', 406, 1)
(2.749588966369629, 3, 'out', 'decode', 407, 1)
(2.749588966369629, 4, 'in', 'decode', 121, 1)
(2.749588966369629, 4, 'out', 'decode', 122, 1)
(3.2672922611236572, 7, 'in', 'prompt', 0, 1069)
(3.2672922611236572, 9, 'out', 'prompt', 0, 423)
(3.2672922611236572, 7, 'out', 'decode', 1069, 1)
(3.281175374984741, 5, 'in', 'decode', 1061, 1)
(3.281175374984741, 5, 'out', 'decode', 1062, 1)
(3.4343345165252686, 8, 'in', 'prompt', 0, 1040)
(3.4343345165252686, 10, 'out', 'prompt', 0, 210)
(3.4343345165252686, 8, 'out', 'decode', 1040, 1)
(3.4514172077178955, 0, 'in', 'decode', 197, 1)
(3.4514172077178955, 0, 'out', 'decode', 198, 1)
(3.4514172077178955, 1, 'in', 'decode', 423, 1)
(3.4514172077178955, 1, 'out', 'decode', 424, 1)
(3.4514901638031006, 2, 'in', 'decode', 1139, 1)
(3.4514901638031006, 2, 'out', 'decode', 1140, 1)
(3.4514901638031006, 3, 'in', 'decode', 407, 1)
(3.4514901638031006, 3, 'out', 'decode', 408, 1)
(3.4514901638031006, 4, 'in', 'decode', 122, 1)
(3.4514901638031006, 4, 'out', 'decode', 123, 1)
(3.4514901638031006, 6, 'in', 'decode', 389, 1)
(3.4514901638031006, 6, 'out', 'decode', 390, 1)
(3.6740312576293945, 9, 'in', 'prompt', 0, 423)
(3.6740312576293945, 11, 'out', 'prompt', 0, 1345)
(3.6740312576293945, 9, 'out', 'decode', 423, 1)
(3.713820457458496, 10, 'in', 'prompt', 0, 210)
(3.713820457458496, 12, 'out', 'prompt', 0, 394)
(3.713820457458496, 10, 'out', 'decode', 210, 1)
(3.7282185554504395, 5, 'in', 'decode', 1062, 1)
(3.7282185554504395, 5, 'out', 'decode', 1063, 1)
(3.7282495498657227, 7, 'in', 'decode', 1069, 1)
(3.7282495498657227, 7, 'out', 'decode', 1070, 1)
(3.7452919483184814, 0, 'in', 'decode', 198, 1)
(3.7452919483184814, 0, 'out', 'decode', 199, 1)
(3.7453181743621826, 1, 'in', 'decode', 424, 1)
(3.7453181743621826, 1, 'out', 'decode', 425, 1)
(3.7453181743621826, 2, 'in', 'decode', 1140, 1)
(3.7453181743621826, 2, 'out', 'decode', 1141, 1)
(3.7453181743621826, 3, 'in', 'decode', 408, 1)
(3.7453181743621826, 3, 'out', 'decode', 409, 1)
(3.7453181743621826, 4, 'in', 'decode', 123, 1)
(3.7453181743621826, 4, 'out', 'decode', 124, 1)
(3.7453181743621826, 6, 'in', 'decode', 390, 1)
(3.7453181743621826, 6, 'out', 'decode', 391, 1)
(3.7453181743621826, 8, 'in', 'decode', 1040, 1)
(3.7453181743621826, 8, 'out', 'decode', 1041, 1)
(4.550745964050293, 11, 'in', 'prompt', 0, 1345)
(4.550745964050293, 13, 'out', 'prompt', 0, 1051)
(4.550745964050293, 11, 'out', 'decode', 1345, 1)
(4.609163522720337, 12, 'in', 'prompt', 0, 394)
(4.609163522720337, 14, 'out', 'prompt', 0, 1170)
(4.609163522720337, 12, 'out', 'decode', 394, 1)
(4.627356290817261, 0, 'in', 'decode', 199, 1)
(4.627356290817261, 0, 'out', 'decode', 200, 1)
(4.627356290817261, 1, 'in', 'decode', 425, 1)
(4.627356290817261, 1, 'out', 'decode', 426, 1)
(4.627429246902466, 10, 'in', 'decode', 210, 1)
(4.627429246902466, 10, 'out', 'decode', 211, 1)
(4.627429246902466, 2, 'in', 'decode', 1141, 1)
(4.627429246902466, 2, 'out', 'decode', 1142, 1)
(4.627429246902466, 3, 'in', 'decode', 409, 1)
(4.627429246902466, 3, 'out', 'decode', 410, 1)
(4.627429246902466, 4, 'in', 'decode', 124, 1)
(4.627429246902466, 4, 'out', 'decode', 125, 1)
(4.627429246902466, 5, 'in', 'decode', 1063, 1)
(4.627429246902466, 5, 'out', 'decode', 1064, 1)
(4.627429246902466, 6, 'in', 'decode', 391, 1)
(4.627429246902466, 6, 'out', 'decode', 392, 1)
(4.627429246902466, 7, 'in', 'decode', 1070, 1)
(4.627429246902466, 7, 'out', 'decode', 1071, 1)
(4.627429246902466, 8, 'in', 'decode', 1041, 1)
(4.627429246902466, 8, 'out', 'decode', 1042, 1)
(4.627429246902466, 9, 'in', 'decode', 423, 1)
